Transcriptions,Signature,Burial place,Mother,Instruments,Battles/wars,Parent(s),Rank,Spouse(s),Honours,Branch,2002–2007,Known for,"Service/, branch",Resting place,Place of Birth,Board member of,Partner(s),Relative(s),Genres,Website,Years of service,Burial,Issue,Other names,Name,Commands held,Spouses,Born,Family,Jyutping,Occupation,Succeeded by,Citizenship,Employer(s),Origin,Religion,Relatives,Education,Death Place,Works,Father,Awards,Birth Date,Organizations,President,Medium,Died,Allegiance,Hanyu Pinyin,Simplified Chinese,Height,Labels,Years active,Partner,1997–2007,Cause of death,Occupations,Traditional Chinese,Monuments,Service number,Losses,Partners,Instrument(s),Parent,Children,Full Birth Name,Organization,Reach,Spouse,Alma mater,Title,Occupation(s),Unit,Wins,Formerly of,Parents,House,Weight(s),Preceded by,Notable work,Political party,Nationality,Wade–Giles
,,,,,,,,"Geary Steffen,  ,  , (, m., 1949;, div., 1953),  , Patrick Nerney,  ,  , (, m., 1954;, div., 1963),  , James Fitzgerald,  ,  , (, m., 1965;, div., 1975),  , David Parlour,  ,  , (, m., 1978;, div., 1981),  , Dickie Moore,  ,  , (, m., 1988; died 2015),  ",,,,,,,"Portland, Oregon, , U.S.",,,,,,,,,,Jane Powell,,,,,,,,,,,,,,"Wilton, Connecticut, , U.S.",,,,1929-04-01,,,,2021-09-16,,,,,,1944–2004,,,,"Actress, singer, dancer",,,,,,,,3,Suzanne Lorraine Burce,,,,,,,,,,,,,,,,,
,,,Margaret Majer,,,,,,,,,,,,,,,,,,,"September 18, 1982, Cathedral of Our Lady Immaculate, ,, Monaco-Ville, , Monaco","Caroline, Princess of Hanover, Albert II, Prince of Monaco, Princess Stéphanie",,Grace Kelly,,,"Grace Patricia Kelly, (, 1929-11-12, ), November 12, 1929, Philadelphia, , Pennsylvania, U.S.",,,Actress,,,,,Catholic,,"American Academy of Dramatic Arts, Neighborhood Playhouse School of the Theatre",,Full list,John B. Kelly Sr.,"Academy Award for Best Actress, (1954), See more",,,,,"September 14, 1982, (1982-09-14), (aged 52), Monaco Hospital, ,, La Colle, Monaco",,,,,,"1949–1956, 1977",,,,,,,,,,,,,,,,"Rainier III, Prince of Monaco,  ,  , (, m., 1956),  ",,,,,,,,"Grimaldi, (by marriage)",,,,,,
,,,,,,,,,,,,,,,"Chicago, Illinois, , U.S.",,,,,"www, .missmitzigaynor, .com",,,,,Mitzi Gaynor,,,,,,,,,,,,,,,,,,1931-09-04,,,,,,,,,,1949–present,,,,,,,,,,,,,Francesca Marlene de Czanyi von Gerber,,,"Jack Bean,  ,  , (, m., 1954; died 2006),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Park Cemetery,, Fairmount, Indiana","Marion, Indiana, , U.S.",,,,,jamesdean.com,,,,,James Dean,,,,,,Actor,,,,,,,"Santa Monica College, UCLA","Cholame, California, , U.S.",,,,1931-02-08,,,,"September 30, 1955, 1955-09-30, aged 24",,,,,,1950–1955,,,Car accident,,,,,,,,,,James Byron Dean,,,,,,,,,,,,,,,,,
,,,,,,,,"Geordie Hormel,  ,  , (, m., 1951;, div., 1954),  , Peter Hall,  ,  , (, m., 1956;, div., 1965),  , Michael Laughlin,  ,  , (, m., 1969;, div., 1980),  ",,,,,,,"Boulogne-sur-Seine, ,, Paris, , France",,,,,,,,,,Leslie Caron,,,,,,,,,,,,,,,,,,1931-07-01,,,,,,,,,,1951–present,,,,"Actress, dancer",,,,,,,,"Christopher Hall, Jennifer Caron Hall",Leslie Claire Margaret Caron,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park,"London, England",,,,,"elizabethtaylor, .com",,,,Liz Taylor,Elizabeth Taylor,,"Conrad Hilton Jr.,  ,  , (, m., 1950, ;, div., 1951, ),  , Michael Wilding,  ,  , (, m., 1952, ;, div., 1957, ),  , Mike Todd,  ,  , (, m., 1957, ; died, 1958, ),  , Eddie Fisher,  ,  , (, m., 1959, ;, div., 1964, ),  , Richard Burton,  ,  , (, m., 1964, ;, div., 1974, ),  ,  ,  , (, m., 1975, ;, div., 1976, ),  , John Warner,  ,  , (, m., 1976, ;, div., 1982, ),  , Larry Fortensky,  ,  , (, m., 1991, ;, div., 1996, ),  ",,,,Actress,,"United Kingdom, United States",,,,,,"Los Angeles, California, US",,,Full list,1932-02-27,,,,2011-03-23,,,,,,1942–2007,,,,,,,,,,,,4,Elizabeth Rosemond Taylor,,,,,"Dame, (2000)",,,,,"Francis Lenn Taylor, (father), Sara Sothern, (mother)",,,,,,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, Hollywood Hills","El Paso, Texas, , U.S.",,,,,"debbiereynolds, .com",,,,,Debbie Reynolds,,"Eddie Fisher,  ,  , (, m., 1955;, div., 1959),  , Harry Karl,  ,  , (, m., 1960;, div., 1973),  , Richard Hamlett,  ,  , (, m., 1984;, div., 1996),  ",,,,,,,,,,"Billie Lourd, (granddaughter)",,"Los Angeles, California, , U.S.",,,,1932-04-01,,,,2016-12-28,,,,,,1948–2016,,,,"Actress, singer, dancer, businesswoman",,,,,,,,"Carrie Fisher, Todd Fisher",Mary Frances Reynolds,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"New York City, , U.S.",,"Tab Hunter, (1955–1959), Grover Dale, (1964–1971)",,,,,,,,Anthony Perkins,,,,,,,,,,,,,,"Los Angeles, , California, U.S.",,,,1932-04-04,,,,1992-09-12,,,,,,1953–1992,,,,"Actor, director, singer",,,,,,,"Osgood Perkins, (father)","Oz Perkins, Elvis Perkins",,,,"Berry Berenson,  , (, m., 1973),  ",Columbia University,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,,"Leeds, , West Riding of Yorkshire, England",,,,,,,,,,Peter O'Toole,,,,,,,,,,,,,,"St John's Wood, , London, England",,,List of awards and nominations,1932-08-02,,,,2013-12-14,,,,,,1954–2012,Karen Brown (1982–1988),,,"Actor, author",,,,,,,,"3, including, Kate",Peter Seamus O'Toole,,,"Siân Phillips,  ,  , (, m., 1959;, div., 1979),  ",Royal Academy of Dramatic Art,,,,,,,,,,On screen and stage,,,
,,Al-Sayyida Nafisa Cemetery,,,,,,,Order of Merit,,,,,,,,,,,,,,,"Omar el-Sherief,, Omar Cherif",Omar Sharif,,,,,,Actor,,,,,,"Omar Sharif Jr., (grandson)","Victoria College, Alexandria",,,,"César Award, (2004), Golden Globe Award, (1962, 1963, 1965)",,,,,"10 July 2015, (2015-07-10), (aged 83), Cairo, , Egypt",,,,,,1954–2015,,,,,,,,,,,,1,,,,"Faten Hamama,  ,  , (, m., 1955;, div., 1974),  ",Cairo University,,,,,,,,,,,,Egyptian,
,,,,,,,,,,,,,,"Fairview Cemetery, ,, Pen Argyl, Pennsylvania, 40°51′42″N, 75°14′25″W, ﻿ / ﻿, 40.861672°N 75.240244°W, ﻿ /, 40.861672; -75.240244","Bryn Mawr, Pennsylvania, , U.S.",,,,,"jaynemansfield, .com",,,,,Jayne Mansfield,,"Paul Mansfield,  ,  , (, m., 1950;, div., 1958),  , Mickey Hargitay,  ,  , (, m., 1958;, div., 1964),  , Matt Cimber,  ,  , (, m., 1964;, div., 1966),  ",,,,,,,,,,,"Southern Methodist University, University of Texas at Austin","New Orleans, Louisiana, , U.S.",,,"Theatre World Award, for, Promising Personality, (1956), Golden Globe, for, New Star Of The Year – Actress, (1957)",1933-04-19,,,,1967-06-29,,,,,,1954–1967,"Enrico Bomba, (1962–1964)",,Brain trauma sustained in automobile crash,"Actress, singer, Playboy, Playmate, nightclub entertainer, model",,,,,,,,"5, including, Jayne Marie Mansfield, and, Mariska Hargitay",Vera Jayne Palmer,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Chicago, ,, Illinois, , U.S.",,,,,"kimnovakartist, .com",,,,,Kim Novak,,"Richard Johnson,  ,  , (, m., 1965;, div., 1966),  , Robert Malloy,  ,  , (, m., 1976; died 2020),  ",,,,,,,,,,,,,,,,1933-02-13,,,,,,,,,,1954–1991,,,,,,,,,,,,,Marilyn Pauline Novak,,,,,,"Actress, artist",,,,,,,,,,,
,,,,,,,,"Carlo Ponti Sr.,  ,  , (, m., 1957;, ann., 1962),  ,  ,  , (, m., 1966; died 2007),  ",,,,,,,"Rome, ,, Kingdom of Italy",,,,,,,,,,Sophia Loren,,,,,,Actress,,"Italy, France",,,,"Romano Mussolini, (brother-in-law), Alessandra Mussolini, (niece), Sasha Alexander, (daughter-in-law)",,,,,,1934-09-20,,,,,,,,,,1950–present,,,,,,,,,,,,"Carlo Ponti Jr., Edoardo Ponti",Sofia Costanza Brigida Villani Scicolone,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Richmond, Virginia, , U.S.",,,,,"shirleymaclaine, .com",,,,,Shirley MacLaine,,,,,,,,,,,,"Warren Beatty, (brother)",,,,,,1934-04-24,,,,,,,,,,1952–present,,,,,,,,,,,,Sachi Parker,Shirley MacLean Beaty,,,"Steve Parker,  ,  , (, m., 1954;, div., 1982),  ",,,,,,,,,,,,,,
,,,,"Vocals, guitar, piano",,,Sergeant,,,United States Army,,,,"Graceland, , Memphis, 35°2′46″N, 90°1′23″W, ﻿ / ﻿, 35.04611°N 90.02306°W, ﻿ /, 35.04611; -90.02306","Tupelo, Mississippi, , U.S.",,,,"Rock and roll, pop, rockabilly, country, gospel, R&B, blues",,1958–1960,,,,Elvis Presley,,,,,,,,,,,,"Riley Keough, (granddaughter), Brandon Presley, (second cousin)",,"Memphis, Tennessee, , U.S.","Albums, singles, songs recorded, Sun label, film and television",,Good Conduct Medal,1935-01-08,,,,1977-08-16,,,,,"Sun, RCA Victor, HMV, Allied Artists Music Group",1953–1977,,,Cardiac arrest,"Singer, actor",,,,,,,,Lisa Marie,Elvis Aron Presley,,,"Priscilla Beaulieu,  ,  , (, m., 1967;, div., 1973),  ",,,,"Headquarters Company, 1st Medium Tank Battalion,, 32d Armor, ,, 3d Armored Division",,,,,,,,,,
,,,,,,,,"Harold Allen, Jr.,  ,  , (, m., 1959;, div., 1968),  , Roy Thorsen,  ,  , (, m., 1974),  ",,,,Meet Me in St. Louis,,,"San Diego, California, , U.S.",,,,,,,,,,Margaret O'Brien,,,,,,,,,,,,,,,,,,1937-01-15,,,,,,,,,,1941–present,,,,,,,,,,,,1,Maxine O'Brien,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Westwood Village Memorial Park Cemetery,"San Francisco, California, , U.S.",,,,,,,,,Natasha Gurdin,Natalie Wood,,"Robert Wagner,  ,  , (, m., 1957, ;, div., 1962, ),  ,  ,  , (, m., 1972, ),  , Richard Gregson,  ,  , (, m., 1969, ;, div., 1972, ),  ",,,,Actress,,,,,,"Lana Wood, (sister)",,"Pacific Ocean, near, Santa Catalina Island",,,,1938-07-20,,,,1981-11-29,,,,,,1943–1981,,,"""drowning and other undetermined factors""",,,,,,,,,"2, including, Natasha Gregson Wagner",Natalie Zacharenko,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Imitation of Life, Until They Sail, Gidget, A Summer Place, Tammy Tell Me True, Take Her She's Mine",,Forest Lawn Memorial Park,"Bayonne, New Jersey, , U.S.",,,,,,,,,Sandra Douvan,Sandra Dee,,,,,,,,,,,,,University High School,"Thousand Oaks, California, , U.S.",,,,1942-04-23,,,,2005-02-20,,,,,,1957–1983,,,,"Actress, model",,,,,,,,1,Alexandra Zuck,,,"Bobby Darin,  ,  , (, m., 1960;, div., 1967),  ",Professional Children's School,,,,,,,,,,,,,
